------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <ibm.txt>
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  P-value(KS) PROPORTION  STATISTICAL TEST 
------------------------------------------------------------------------------
 95   2   1   0   1   0   0   0   1   0  0.000000 *  0.000000 * 0.1200 *  Frequency
 42  16  15   9   7   3   4   2   2   0  0.000000 *  0.000000 * 0.8500 *  BlockFrequency
 95   0   3   0   0   1   0   1   0   0  0.000000 *  0.000000 * 0.1200 *  CumulativeSums
 95   1   1   1   1   0   1   0   0   0  0.000000 *  0.000000 * 0.1700 *  CumulativeSums
  8   6   8   6   8   4   3   4   7   5  0.554420    0.252298   1.0000    Runs
 31  15  13  11  10   7   6   3   4   0  0.000000 *  0.000000 * 0.9400 *  LongestRun
  9  13   5  13  10  11   5  13  10  11  0.534146    0.632550   0.9700    FFT
 38   6   9   8   6   8   4   6   7   8  0.000000 *  0.000000 * 0.8500 *  NonOverlappingTemplate
 22  15   9   5   9   6  10   9   9   6  0.006196    0.005295   0.9200 *  NonOverlappingTemplate
 25   9   9   8  10  11   7   9   8   4  0.000883    0.003781   0.9000 *  NonOverlappingTemplate
 16  12  13   6   8   9   7   9  10  10  0.534146    0.093353   0.9800    NonOverlappingTemplate
 18  14  15  10  13   5   9   4   9   3  0.007160    0.000117   0.9800    NonOverlappingTemplate
 17   8   7  15  13   4   7  11  10   8  0.102526    0.116825   0.9600 *  NonOverlappingTemplate
 18  14   7  11   9  11   6  12   9   3  0.062821    0.060349   0.9600 *  NonOverlappingTemplate
  8  15   5   9  11   7   8  13  12  12  0.474986    0.535694   0.9900    NonOverlappingTemplate
 21   8  15  12   7   9  10   5   6   7  0.010988    0.009579   0.9400 *  NonOverlappingTemplate
 19  17  11   9   6   7  11   3   6  11  0.007694    0.001311   0.9500 *  NonOverlappingTemplate
 13   8  14   7  14   1  13   8   8  14  0.051942    0.727190   0.9700    NonOverlappingTemplate
 14   6  11   5  13  11  12   4  14  10  0.191687    0.800793   0.9800    NonOverlappingTemplate
 22  14   3  14   9   8  12   5   9   4  0.000513    0.001491   0.9900    NonOverlappingTemplate
 14   6  10  11  11  14  15   6   5   8  0.213309    0.113568   0.9700    NonOverlappingTemplate
 13  10  11  11   8   6  13   6  15   7  0.437274    0.510465   0.9600 *  NonOverlappingTemplate
  7  10   6  10  11   7  16  13  10  10  0.534146    0.135016   0.9700    NonOverlappingTemplate
 14   8  11  12   9   9  11   6  11   9  0.867692    0.761821   0.9800    NonOverlappingTemplate
 10   9  16   7  11  10  14   6   8   9  0.494392    0.397303   0.9700    NonOverlappingTemplate
 14   9  11  10  11   2  12  10   8  13  0.350485    0.651675   0.9800    NonOverlappingTemplate
 13  13   4   9  11   8  11   8  12  11  0.637119    0.731549   0.9800    NonOverlappingTemplate
  9   7   8  10   5  12   6  13  13  17  0.181557    0.038103   0.9700    NonOverlappingTemplate
 15  12   9   8  10   9   9  13   5  10  0.637119    0.633219   0.9600 *  NonOverlappingTemplate
  4   8   9   8  13  13  12   8  11  14  0.455937    0.110910   1.0000    NonOverlappingTemplate
 17   6  11   7  11   6   8  15  10   9  0.202268    0.437018   0.9700    NonOverlappingTemplate
 20   4   8   8  11  11  15   6   9   8  0.023545    0.151467   0.9700    NonOverlappingTemplate
  9   7  15   7  14  10  11  12  10   5  0.437274    0.725058   0.9900    NonOverlappingTemplate
 15  12   7   5  11   6   9  14   9  12  0.334538    0.202854   0.9800    NonOverlappingTemplate
  6   7   9   9  14  14  11  16   7   7  0.249284    0.176044   0.9900    NonOverlappingTemplate
 11  10   5   9  12   8   8  10  10  17  0.455937    0.328072   0.9500 *  NonOverlappingTemplate
 12   7  10   6   7  12  14   7   9  16  0.319084    0.310808   0.9900    NonOverlappingTemplate
 27  10   8  11   8   8   8   9   7   4  0.000055 *  0.000873   0.9500 *  NonOverlappingTemplate
 16  11  10  13   4   6  13   7  11   9  0.224821    0.174181   0.9500 *  NonOverlappingTemplate
  7  13   2  11  14  13   9   8  12  11  0.224821    0.205738   0.9900    NonOverlappingTemplate
 12  15   5   7  10   6  14  14   7  10  0.213309    0.508630   0.9800    NonOverlappingTemplate
 10   7   9  10  11   9  11  12   9  12  0.987896    0.519090   0.9800    NonOverlappingTemplate
 13  11   6  10  14   9  12   8   8   9  0.779188    0.797253   0.9700    NonOverlappingTemplate
 11   8   9  10  11  11   7  12  15   6  0.719747    0.753638   1.0000    NonOverlappingTemplate
 12   6  10   8  10  11   8  13  14   8  0.759756    0.750544   0.9800    NonOverlappingTemplate
  5   9   7  10  14  13   9  10  13  10  0.637119    0.080730   0.9900    NonOverlappingTemplate
  9   8  15   6   7  11  10  12  11  11  0.719747    0.686784   0.9800    NonOverlappingTemplate
 11   6  10   6  11  11  17  11   8   9  0.437274    0.442986   0.9800    NonOverlappingTemplate
  4  11   6  12  14  13  12  11   8   9  0.419021    0.089537   1.0000    NonOverlappingTemplate
 12  10  10   8  11  13  11  13   6   6  0.739918    0.325649   0.9700    NonOverlappingTemplate
 12   6  11  17   7  14  10   8   9   6  0.236810    0.383687   0.9900    NonOverlappingTemplate
  9   9   5   8   5  11  15  15  11  12  0.262249    0.011875   0.9900    NonOverlappingTemplate
  6   8   6  11   7  17  15  18   5   7  0.009535    0.011307   1.0000    NonOverlappingTemplate
  4  14   6   7   9  12  11  17   6  14  0.058984    0.147676   1.0000    NonOverlappingTemplate
 11   8   7   8   7  11  16   8   9  15  0.401199    0.266822   1.0000    NonOverlappingTemplate
  8   8   7  11  12   8  11  14  12   9  0.851383    0.347421   1.0000    NonOverlappingTemplate
 11   5   8   6  13  11  14  17   9   6  0.129620    0.147676   0.9700    NonOverlappingTemplate
  6   6  10  10  10  15  11  15  10   7  0.419021    0.145886   0.9800    NonOverlappingTemplate
  4   4   9  12  11  11  10  16  11  12  0.213309    0.014908   0.9800    NonOverlappingTemplate
 11  11  11   9   6  14  14   8   5  11  0.514124    0.416532   0.9400 *  NonOverlappingTemplate
 16   8  11   9   8   8   9  15   8   8  0.494392    0.593474   0.9700    NonOverlappingTemplate
 11   7   8  16   4  11  19   6  11   7  0.021999    0.648082   0.9800    NonOverlappingTemplate
 10   5  13   6  15  13  10   8  15   5  0.129620    0.485998   0.9600 *  NonOverlappingTemplate
